Transacao,Usuario,Provedor,Produto,ProdutoCategoria,Canal,ValorEmConta,ValorServico,DataHora,EstrategiaPreco,Fraude
76871,3957,6,10,netflix,3,1000.0,1000,2018-11-15T02:18:49Z,2,0
73770,4841,4,6,varejo,2,-20.0,20,2018-11-15T02:19:08Z,2,0
26203,4229,6,1,netflix,3,500.0,500,2018-11-15T02:44:21Z,2,0
380,648,1,21,boleto,3,20000.0,21800,2018-11-15T03:32:55Z,2,0
28195,4841,4,6,varejo,2,-644.0,644,2018-11-15T03:34:21Z,2,0
23223,1078,6,3,netflix,3,2000.0,2000,2018-11-15T03:35:10Z,2,0
118063,2442,5,3,netflix,3,10000.0,10000,2018-11-15T03:44:31Z,4,0
100640,4841,4,6,varejo,2,-500.0,500,2018-11-15T03:45:13Z,2,0
51905,272,6,10,netflix,3,500.0,500,2018-11-15T04:14:59Z,2,0
130161,710,1,15,varejo,3,600.0,600,2018-11-15T04:31:48Z,2,0
51800,2634,6,3,netflix,3,890.0,890,2018-11-15T04:32:08Z,2,0
33857,4841,4,6,varejo,2,-40.0,40,2018-11-15T04:32:42Z,2,0
94963,710,1,15,varejo,3,600.0,600,2018-11-15T04:35:10Z,2,0
104687,710,3,15,varejo,3,4000.0,4000,2018-11-15T04:47:31Z,2,0
86903,710,3,15,varejo,3,4000.0,4000,2018-11-15T04:48:09Z,2,0
118831,710,3,15,varejo,3,4000.0,4000,2018-11-15T04:51:20Z,2,0
122975,2685,5,15,varejo,3,500.0,500,2018-11-15T04:52:37Z,2,0
98367,2685,6,11,internet,3,1000.0,1000,2018-11-15T04:54:00Z,2,0
64044,4841,4,6,varejo,2,-10.0,10,2018-11-15T04:54:18Z,2,0
119821,3081,5,3,netflix,3,500.0,500,2018-11-15T04:56:25Z,4,0
94363,4841,4,6,varejo,2,-25.0,25,2018-11-15T04:57:00Z,2,0
93543,3081,5,3,netflix,3,500.0,500,2018-11-15T04:59:02Z,4,0
138139,4841,4,6,varejo,2,-25.0,25,2018-11-15T04:59:41Z,2,0
79885,1825,6,3,netflix,3,1000.0,1000,2018-11-15T04:59:51Z,2,0
127132,2314,6,10,netflix,3,500.0,500,2018-11-15T05:06:25Z,2,0
74649,4841,4,6,varejo,2,-10.0,10,2018-11-15T05:06:39Z,2,0
7396,1825,6,3,netflix,3,1000.0,1000,2018-11-15T05:37:24Z,2,0
126754,1616,6,19,globoplay,3,3500.0,3500,2018-11-15T05:38:25Z,2,0
136360,4841,4,6,varejo,2,-70.0,70,2018-11-15T05:38:35Z,2,0
89705,3455,5,15,varejo,3,2000.0,2000,2018-11-15T05:38:37Z,2,0
64565,3455,6,4,netflix,3,2000.0,2000,2018-11-15T05:43:41Z,2,0
46482,4841,4,6,varejo,2,-100.0,100,2018-11-15T05:44:06Z,2,0
5351,2540,5,15,varejo,3,10000.0,10000,2018-11-15T05:49:37Z,2,0
103605,2126,6,3,netflix,3,1500.0,1500,2018-11-15T05:50:14Z,2,0
10285,4841,4,6,varejo,2,-67.25,68,2018-11-15T05:50:48Z,2,0
80334,2540,6,3,netflix,3,1000.0,1000,2018-11-15T05:52:57Z,2,0
26269,4841,4,6,varejo,2,-50.0,50,2018-11-15T05:53:27Z,2,0
16559,571,5,15,varejo,3,2200.0,2200,2018-11-15T05:54:12Z,2,0
79455,571,5,15,varejo,3,2200.0,2200,2018-11-15T05:55:12Z,2,0
104700,2126,5,15,varejo,3,8000.0,8000,2018-11-15T06:01:28Z,2,0
13858,2126,5,15,varejo,3,8000.0,8000,2018-11-15T06:02:27Z,2,0
34855,826,5,21,boleto,3,10000.0,11200,2018-11-15T06:03:00Z,2,0
132865,4841,4,6,varejo,2,-622.0,622,2018-11-15T06:03:27Z,2,0
124368,2126,5,15,varejo,3,8000.0,8000,2018-11-15T06:03:40Z,2,0
76536,2126,6,10,netflix,3,5000.0,5000,2018-11-15T06:04:47Z,2,0
93161,4841,4,6,varejo,2,-100.0,100,2018-11-15T06:04:58Z,2,0
16043,1842,5,11,internet,3,2000.0,2000,2018-11-15T06:05:11Z,4,0
96774,4841,4,6,varejo,2,-40.0,40,2018-11-15T06:05:33Z,2,0
86046,714,5,21,boleto,3,5000.0,5750,2018-11-15T06:08:57Z,2,0
14293,335,6,10,netflix,3,2000.0,2000,2018-11-15T06:10:19Z,2,0
96748,4841,4,6,varejo,2,-40.0,40,2018-11-15T06:10:33Z,2,0
121336,4841,4,6,varejo,2,-496.0,496,2018-11-15T06:11:04Z,2,0
38396,2744,5,15,varejo,3,30000.0,30000,2018-11-15T06:13:54Z,2,0
54845,1479,6,1,netflix,3,1000.0,1000,2018-11-15T06:14:20Z,2,0
137392,4841,4,6,varejo,2,-50.0,50,2018-11-15T06:14:32Z,2,0
59614,4352,6,10,netflix,3,1261.0,1261,2018-11-15T06:16:39Z,2,0
84691,2216,1,15,varejo,3,2000.0,2000,2018-11-15T06:17:42Z,2,0
72438,2744,5,5,transporte,3,41000.0,41000,2018-11-15T06:18:24Z,2,0
92309,1523,3,3,netflix,3,2000.0,2000,2018-11-15T06:20:45Z,1,0
88237,4841,4,6,varejo,2,-100.0,100,2018-11-15T06:22:49Z,2,0
105829,3447,6,3,netflix,3,1000.0,1000,2018-11-15T06:27:21Z,2,0
94666,4841,4,6,varejo,2,-50.0,50,2018-11-15T06:27:51Z,2,0
70601,2056,6,10,netflix,3,1000.0,1000,2018-11-15T06:28:58Z,2,0
102611,4841,4,6,varejo,2,-20.0,20,2018-11-15T06:29:10Z,2,0
65476,1825,6,3,netflix,3,1000.0,1000,2018-11-15T06:30:33Z,2,0
112996,12,6,3,netflix,3,3000.0,3000,2018-11-15T06:31:35Z,2,0
130141,4841,4,6,varejo,2,-150.0,150,2018-11-15T06:32:04Z,2,0
26794,2132,6,21,boleto,3,5000.0,5750,2018-11-15T06:39:10Z,2,0
47659,2401,6,3,netflix,3,1000.0,1000,2018-11-15T06:39:41Z,2,0
76198,4841,4,6,varejo,2,-50.0,50,2018-11-15T06:40:11Z,2,0
42823,2056,6,4,netflix,3,3500.0,3500,2018-11-15T06:41:10Z,2,0
104825,4841,4,6,varejo,2,-175.0,175,2018-11-15T06:41:27Z,2,0
28633,1825,6,3,netflix,3,1000.0,1000,2018-11-15T06:45:38Z,2,0
81595,335,6,10,netflix,3,1000.0,1000,2018-11-15T06:48:29Z,2,0
76324,4841,4,6,varejo,2,-20.0,20,2018-11-15T06:48:44Z,2,0
74987,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:53:23Z,1,0
